362,'61216579','Shell_US',15031,148,794,0,324,'2013-02-15 23:45:13'
363,'413387003','Shell_Alaska',2485,469,1010,8,37,'2013-02-15 23:45:14'
364,'950080579','Shell_Nederland',146,0,39,0,1,'2013-02-16 23:45:04'
365,'950080579','Shell_Nederland',146,0,39,0,1,'2013-02-16 23:45:05'
366,'20663500','Shell',115494,128,812,4,1594,'2013-02-16 23:45:04'
367,'20663500','Shell',115494,128,812,4,1594,'2013-02-16 23:45:06'
368,'17816786','shell_ecomar',3242,598,1541,0,61,'2013-02-16 23:45:04'
369,'577176707','Shell_NatGas',4404,133,359,0,59,'2013-02-16 23:45:04'
370,'17816786','shell_ecomar',3242,598,1541,0,61,'2013-02-16 23:45:06'
371,'38220933','Shell_Careers',12802,41,1029,0,224,'2013-02-16 23:45:05'
372,'577176707','Shell_NatGas',4404,133,359,0,59,'2013-02-16 23:45:06'
373,'38199580','ShellMotorsport',20606,138,952,5,801,'2013-02-16 23:45:05'
374,'38220933','Shell_Careers',12802,41,1029,0,224,'2013-02-16 23:45:06'
375,'702247658','Shell_Australia',430,152,247,1,3,'2013-02-16 23:45:05'
376,'38199580','ShellMotorsport',20606,138,952,5,801,'2013-02-16 23:45:06'
377,'702247658','Shell_Australia',430,152,247,1,3,'2013-02-16 23:45:07'
378,'61216579','Shell_US',15048,148,794,0,323,'2013-02-16 23:45:05'
379,'413387003','Shell_Alaska',2485,469,1011,8,37,'2013-02-16 23:45:05'
380,'61216579','Shell_US',15048,148,794,0,323,'2013-02-16 23:45:07'
381,'413387003','Shell_Alaska',2485,469,1011,8,37,'2013-02-16 23:45:07'
382,'950080579','Shell_Nederland',150,0,40,0,1,'2013-02-17 23:45:03'
383,'20663500','Shell',115524,128,812,4,1594,'2013-02-17 23:45:04'
384,'17816786','shell_ecomar',3247,598,1541,0,61,'2013-02-17 23:45:05'
385,'577176707','Shell_NatGas',4420,133,359,0,60,'2013-02-17 23:45:05'
386,'38220933','Shell_Careers',12816,41,1029,0,225,'2013-02-17 23:45:05'
387,'38199580','ShellMotorsport',20634,138,952,5,806,'2013-02-17 23:45:05'
388,'702247658','Shell_Australia',430,152,247,1,3,'2013-02-17 23:45:05'
389,'950080579','Shell_Nederland',150,0,40,0,1,'2013-02-17 23:45:03'
390,'61216579','Shell_US',15060,148,794,0,322,'2013-02-17 23:45:05'
391,'20663500','Shell',115524,128,812,4,1594,'2013-02-17 23:45:04'
392,'413387003','Shell_Alaska',2494,469,1011,8,37,'2013-02-17 23:45:06'
393,'17816786','shell_ecomar',3247,598,1541,0,61,'2013-02-17 23:45:04'
394,'577176707','Shell_NatGas',4420,133,359,0,60,'2013-02-17 23:45:04'
395,'38220933','Shell_Careers',12816,41,1029,0,225,'2013-02-17 23:45:04'
396,'38199580','ShellMotorsport',20634,138,952,5,806,'2013-02-17 23:45:04'
397,'702247658','Shell_Australia',430,152,247,1,3,'2013-02-17 23:45:04'
398,'61216579','Shell_US',15060,148,794,0,322,'2013-02-17 23:45:04'
399,'413387003','Shell_Alaska',2494,469,1011,8,37,'2013-02-17 23:45:05'
400,'950080579','Shell_Nederland',152,0,41,0,1,'2013-02-18 23:45:04'
401,'20663500','Shell',115617,128,812,4,1595,'2013-02-18 23:45:05'
402,'17816786','shell_ecomar',3249,598,1544,0,61,'2013-02-18 23:45:05'
403,'577176707','Shell_NatGas',4435,133,359,0,60,'2013-02-18 23:45:05'
404,'38220933','Shell_Careers',12831,41,1029,0,225,'2013-02-18 23:45:06'
405,'38199580','ShellMotorsport',20657,138,954,6,806,'2013-02-18 23:45:06'
406,'702247658','Shell_Australia',430,152,249,1,3,'2013-02-18 23:45:06'
407,'61216579','Shell_US',15083,148,794,0,322,'2013-02-18 23:45:06'
408,'413387003','Shell_Alaska',2498,469,1011,8,37,'2013-02-18 23:45:06'
409,'950080579','Shell_Nederland',152,0,41,0,1,'2013-02-18 23:45:04'
410,'20663500','Shell',115617,128,812,4,1595,'2013-02-18 23:45:04'
411,'17816786','shell_ecomar',3249,598,1544,0,61,'2013-02-18 23:45:04'
412,'577176707','Shell_NatGas',4435,133,359,0,60,'2013-02-18 23:45:04'
413,'38220933','Shell_Careers',12831,41,1029,0,225,'2013-02-18 23:45:04'
414,'38199580','ShellMotorsport',20657,138,954,6,806,'2013-02-18 23:45:05'
415,'702247658','Shell_Australia',430,152,249,1,3,'2013-02-18 23:45:05'
416,'61216579','Shell_US',15083,148,794,0,322,'2013-02-18 23:45:05'
417,'413387003','Shell_Alaska',2498,469,1011,8,37,'2013-02-18 23:45:05'
418,'20663500','Shell',115682,128,812,4,1593,'2013-02-19 19:44:29'
419,'61216579','Shell_US',15106,148,794,0,321,'2013-02-19 19:44:29'
420,'950080579','Shell_Nederland',152,0,43,0,1,'2013-02-19 19:44:30'
421,'577176707','Shell_NatGas',4450,133,361,0,60,'2013-02-19 19:44:30'
422,'38220933','Shell_Careers',12855,41,1033,0,225,'2013-02-19 19:44:30'
423,'413387003','Shell_Alaska',2506,470,1011,8,37,'2013-02-19 19:44:30'
424,'702247658','Shell_Australia',437,152,250,1,3,'2013-02-19 19:44:30'
425,'17816786','shell_ecomar',3255,600,1545,0,61,'2013-02-19 19:44:30'
426,'38199580','ShellMotorsport',20681,138,969,6,808,'2013-02-19 19:44:30'
427,'950080579','Shell_Nederland',152,0,43,0,1,'2013-02-19 23:45:04'
428,'20663500','Shell',115698,128,812,4,1594,'2013-02-19 23:45:04'
